emotion,content
happiness,@pkollar very heart-warming indeed. I'll be looking forward to that day
happiness,"@kellieann1 haha hi mum! wow yes, very modern of you. now you just need to get a facebook account! p.s. talk to me by writing @mattcaplin"
happiness,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined
happiness,Early lunch then getting all dressed up for Amy's confirmation
happiness,hi @blowmefool thanks for the follow  good luck with your friend? ha
happiness,"Done... with the #run : 14.5km / 1h33mn / 153bpm . Feeling great, no fatigue... and no speed"
happiness,"Had a great weekend with One, hanging with Nick &amp; Brendon, church this morning! Can't believe Loretta won the Mothers Day raffle again!"
happiness,"@BryonyCatrin hey hey, some else has twitter!"
happiness,finished essay. dinner went well me and my brother acted like kids and had spoon fight  then fought over who woould sit in my sisters lap
happiness,Had an amazing night with my favorite lady friend
happiness,GETTING A PUPPYYY!!!!  What should I name him? I think Romeo is cute.
happiness,Having a (Y) weekend with Karen. Off to Swansea today
happiness,@Fooddesigner good luck in the pressure test! don't worry everything will be great  #masterchef
happiness,@Reemski Might be a while before I get around to it. Not sure if I will make it flat out in HTML or through WordPress. .. Fun fun fun
happiness,@sosolid2k turtles and shoes make an awesome couple  if only shoes could talk back to the turtle :p lol
happiness,"On way to the wimbledon with @sweezle to watch star trek, IMAX baby"
happiness,i am fucked...damn you lucas at your czech republic beer that tastes like heaven in a bottle!! Your amazing
happiness,?ang cho con hamster m?p t?p th? d?c b?ng cï¿½ch: b? vï¿½o banh ch?y lï¿½ng vï¿½ng trong phï¿½ng
happiness,Off to finish the book &quot;nudge&quot; then going to write some
happiness,I FOUND A PROM DRESS
happiness,@solkana I want to see &quot;Too Fast to Transport in 60 seconds&quot;
happiness,"Hello all my new followers, there is suddenly a lot of you, so will take a little time to get round to you all"
happiness,my head feels sooooooooooo much better
happiness,@ashleytisdale http://twitpic.com/3a5ho - hahaha ily ashley u'r like the best in the world
happiness,@who_the_heck Haha LOL @ the english work they doo in college
happiness,@samanthadepanta Doing really well! I will stay here as long as is needed!  So you can definitely come and visit me!! Look forward too ...
happiness,"@sarahteaa good girl, sarah. now we've got ourselves a club"
happiness,"Happy Mothers Day to all that are, all that are trying, and all that haven't nailed their teenagers to a tree"
happiness,@aphrodaisy Thanks!   I'm making homemade lasagna for my mum today.
happiness,@SusanCosmos @speakgirl Thx 4 sharing!
happiness,Law week is gonna go the fuck off  SO EXCITED
happiness,"Getting somewhere with my first &quot;real&quot; KiokuDB and catalyst app, yay"
happiness,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus
happiness,@robinmatthewfry thats great I'll make sure I get a copy
happiness,#SanctuarySunday fav character @pegasusangel has to be Ashley!  Why? cause she's awesome
happiness,@sammihouse  awww lol yh it is worth it-  mcfly are worth it 2  eekk
happiness,"So, I finally got my but on Twitter. Let's hope I make good use of this site"
happiness,"@travelrants that's cool, I'd be happy to contribute to any future articles. Enjoy the rest of the weekend"
happiness,Proudly watching my film  http://bit.ly/dP2Uh
happiness,Migrating a Sybase ASE SPARC Sun Solaris based into a Solaris x86 based. That should be fun
happiness,Just finnished my Double Cheeseburger. It was good  Ready to watch the Spanish F1
happiness,"Yay, a live demo of Rhodes. Loving this more and more  #euruko"
happiness,"@Sweet_Libertine um, glad you enjoyed it..."
happiness,@ScottRhodie so you liked it. Glad to hear
happiness,@Jennifalconer I was happy to see on Something For the Weekend that Flight of the Conchords is back on BBC4!
happiness,"@brazilianlinda Whoops, totally read that wrong. Ahem. Yes, I am participating in the 10 day may madness. My ebook is up there."
happiness,cleaning day!
happiness,@langfordperry woah in the uk it isn't mothers day werid! I've been watching friends all day helps me revise. Oh and 17 again is awesome
happiness,learn to fly higher...!  http://tinyurl.com/30tools
happiness,"just got back from footy, thankgod eagles won"
happiness,@MizFitOnline @lance02 Morning!  Happy Mother's Day Miz!!!  Thank you Lance!!!!
happiness,"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki's book so i can hire a cleaner"
happiness,@Jae878 aha thanks Jae
happiness,work 7 to 4.... happy mother's day!
happiness,"finally finished my mom's card. took so long getting all the pictures! it looks good though, i'm happy &amp; can't wait til she sees it"
happiness,"@dalekwidow I'm hearing lots of good things about the new Trek movie. I'll see if my Dad, &quot;a fellow Treky&quot;, would like to see it"
happiness,Happy Mothers Day to all the beautiful mom's out there  A day to cherish the best women in our lives
happiness,Hey mates. I just came home from the beach.  I'm hella tired. It was a 4-hour ride.
happiness,"watching #f1. I live near Montmelï¿½, I'm so excited about this race"
happiness,Had such a boss night out.
happiness,Happy Mother's Day to all my favorite moms.
happiness,@looosie Agfest? it was pretty awesome.. loads of people were there lol
happiness,"@joechacko thx! i became IBM Master Inventor in 2008. really enjoyed your blog, particularly with the vegan tag"
happiness,Had a great talk with Tony this afternoon... we're going to give it another go
happiness,"For US tweeps, don't forget to call your mom today..."
happiness,@Rebekah_Mcfly how cool will that be  she is so nice!! Bless her=] so what ya upto? Love you (L) XoxoX
happiness,mOod. was way too much fun. lol..  I lOve to dance TEchno !!! &lt;3 ... life.lOve.stress &amp;&amp;. set backs &lt;3 gnite
happiness,feels like warm things
happiness,"just woke up, hopefully going to see the Xmen film today?"
happiness,Happy Mothers Day to all you mom out there
happiness,"3500 downloads for quickpwn 3.0b5 with cydia, Thanks for playing"
happiness,"Ahh, sunshine.  Just deleted 404 spam emails from 2 days - now off to BBQ in sun  wonderful..."
happiness,"@AbbeyEmm Haha. If you like him, then you should go"
happiness,Its a lovely 58 degrees right now at 7am.  amazing. Enjoy melting vegas. :l
happiness,@natburleson nope  husband is golfing &amp; tornado &amp; I are playing. Im so spoiled everyday. esp LAST sunday (tattoo )
happiness,@astaldoia definitely something with eggs  Yummy
happiness,"Yay, I should be able to make it to 700 updates tonight  lame compared to other ppls i know lol"
happiness,@bobbinrob SPARKLY PEEN FOR THE WIN! It solves all of life's problems
happiness,"@btillo Hehe ! Thanks for your advice  I choose the shoes, only three of them, so hard !!!"
happiness,"@LennyKravitz - Hey, Lenny, we are waiting you in Bulgaria again soon! The concert last year was... OMG!"
happiness,@PeaceDiva Nice! What r ur plans for 2day? Oh n Happy Mothers Day if u happen 2 b a mother
happiness,Sunday morning and i realised im a film snob  as it said on MSN entertainment
happiness,jolly good last night
happiness,My laptop grew speakers. Now I can watch Charlie with the sound on
happiness,@llJessicall SOunds goood!
happiness,"@TimmyTenga awesome, I'm looking at sourcing some as well."
happiness,And I am off to my sister's to partyyyy!
happiness,.. good morning peoplee  looks like it's going to be a nice day today! better than last week it was raining =(.
happiness,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best
happiness,"More beans on toast for breakie! Gotta clean my room and study for final Cisco exam, then watch #LOST . Can't wait!"
happiness,@agoodstein @timknapton what good role models...  i like how yinz think!
happiness,@sarahjpin Good work.I've only just managed to turn my studio on... I envy your productivity
happiness,Happy Mother's Day! What are you doing for your Mama today?
happiness,"Headache is gone,thank god!Time for tea i think"
happiness,@Emmaloid you? hungover? never  I am not hungover &amp; I don't know how. I think it may be my new superpower. Is la Whalen at home? xxx
happiness,@timlichfield alreet chap! Have an awesome time! N congrats on it recent results!
happiness,last drops of the thesis... God let it end today.
happiness,@hairrocks happy birthday!
happiness,@CheekyKerri Defo can't wait we will have a nice afternoon and some music
happiness,is playing MYBRUTE!  follow me at: http://yhana09.mybrute.com
happiness,"@insteadofdeath this is really helpful,  you swear a lot, i just realized. haha."
happiness,@sadknob OK. Happy to hear that you are feeling fine
happiness,#firefly weekend on SciFi channel  I'm a happy man
happiness,Celebrating mother's day with apple pie
happiness,HAPPY MOTHER'S DAY LADIES!!! Hope you all have a wonderful day.
happiness,"@cssglobe hahah, you own lab.hr  I own lab.ba, seems that we think in similar ways"
happiness,[-O] i wish the birthday massacre would come to australia  i think they said they're thinking about it tho.. http://tinyurl.com/p6lfch
happiness,@JOY949 thanks for promoing the show for me in my absence  Glad you liked it. @sealfur and @flipthetape rock!
happiness,@Bitchface91 Well im hving another one today yey
happiness,"but no, i really do. long exposures with no tripod, not looking through the viewfinder, unfocusing. its great"
happiness,Home !! Home @ last !!!!! Time to step outside for some life
happiness,greeting you all a happy mother's day!
happiness,"@idibs oh, a really good 1 dude, thx... added"
happiness,@AkashaTheKitty I've read about those. They're cool. You should definitely get one
happiness,@rasga Yep: http://bit.ly/15yyId  We go there for Christmas treats!
happiness,@Juniesgurl WOOHOO!!!  My broom isnt up to standards....there is no seatbelt on mine....*whispers*  I like the Swiffer...
happiness,@Hoopsiscrazy U think web design wld go down well at the International Brotherhood of Magicians? Maybe. The magic was a success at SXSWi!
happiness,happy mother's day!
happiness,watching Bolt with my brothers and my mom.
happiness,@billzucker Thanks for making me laugh
happiness,http://bit.ly/X7D1c  Spanish Grand Prix 2009  in one hour!
happiness,instant-messaging with two of my favourite conversation guys
happiness,Had a great time last night!
happiness,@HosamKamel Thanks for the follow man
happiness,@dai_bach daps were the best lol
happiness,@DebbieFletcher haha i will remember that  xx
happiness,@sharlynnx ME TOO! please come online *-* hope you've had an amazing weekend
happiness,"@JamesHancox LOL or maybe it's the tooth fairy, takes 'em to keep all the kiddys  teeth safe in"
happiness,"Wow! Up, coffee in hand and already outside.  So peaceful on Sunday mornings."
happiness,THE VIDEO IS FINALLY DONE WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!
happiness,Watched Wolverine yesterday ... a spur of the moment kinda thing. Awesome! So proud that a South African director did that
happiness,the sunset view is SO beautiful from my room!
happiness,"@McMedia Very well thank you! How are you, more importantly?"
happiness,"@muffinwomanxo EH! u dont like retro? tisk tisk, what u been upto? ...apart from waxing ur &quot;mustache&quot; lol"
happiness,"@acchanosaurus good luck chan! gue kmrn bawa backpack kosong, quite helping"
happiness,Sitting in Gatwick- going home for a week! cant wait to see family
happiness,@maynaseric good luck with your auction
happiness,@McMedia husband is golfing &amp; the Toddler and I shall frolic. Am I the consummate mama in that Im so happy with my day?
happiness,going to watch boy in the striped pj's hope i don't cry
happiness,"gave the bikes a thorough wash, degrease it and grease it. think i did a really good job!"
happiness,"had SUCH and AMAZING time last night, McFly were INCREDIBLE"
happiness,Succesfully following Tayla!!
happiness,@niariley WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!
happiness,mmm much better day... so far! it's still quite early. last day of #uds
happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
happiness,english class! working on interactive orals
happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
happiness,@UniqueMakis Awesome! Wish I could fly out to see her
happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
