emotion,content
happiness,victory for the bulldogs was celebrated by 3 white chocolate cheesecakes  nom nom nom WHATTA FATTYYY
happiness,"@saraLDS Thanks for that, Sara"
happiness,@Tony_Mandarich well welcome back from the dark side!
happiness,"@sai_shediddy lol , you gotta share too"
happiness,"first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh"
happiness,@redrobinrockn next one for you!
happiness,Welcome @doeko ! Really glad to know you here. Your products rox man
happiness,"is happy  and clean, squeaky clean"
happiness,"@Tottie Thank you, thank you!! Thought this is where all the cool kids hang out now, hehe  xoxo!"
happiness,"@aruky Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day &quot;colorblind&quot;."
happiness,"NEW LOGO! for all the Web, Cheak it!...gAllethOo"
happiness,@girlfromthemoon ...i had a yay moment today  YAY hope you did too!
happiness,@DonnieWahlberg sounds like you all had a great night . i'm glad it was successful
happiness,"Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!!"
happiness,"@nicolesssss  no, dayuuum 5o'clock was better"
happiness,@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!
happiness,@VIbeauty we will work on that mama  sweetdreams!
happiness,nothings better then going out for chinese at the supperinn with ma fave cousins at 1am
happiness,New @shackletonmusic single bought! It is awesome!! Well done boys!
happiness,@amyyyxoxo ahh I gtg but pls help me with number 3 I'll come back later to see what u said  haha plz and thank u
happiness,@zhayrar lol well thank you
happiness,good job!
happiness,I love the sunshine and the happiness it brings
happiness,"@heyrbk ohh shardup! hehe. hes hot lah, gotta admeeet! bleh."
happiness,@living_autism BUT on the bright side you're on twitter! Morning!
happiness,@Petty01 Happy Birthday and cheers to PAO!!
happiness,i won because im awesome
happiness,finally having my cup of coffee!!!
happiness,"Just hangin out at home, watchin twiligghhttt ( and readin it (AGAIN!!) lol School sukked today Bahaha"
happiness,@antsrants it's driving me insane!  all i want is a lie in!!!
happiness,For @mizhalle  ? http://blip.fm/~5jbp3
happiness,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely"
happiness,@mskiannathediva  He's awesome... Have you worked with him before? He's a good friend.
happiness,"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself"
happiness,@DavidArchie I tweet sooo much about you. Gahd.  Hahaha!
happiness,"@williamduncan the archetype thing was for a comm. class that studied archetypes in popular media. reading your links now, thanks"
happiness,"@algibbs thanks for that, now i learned something new today  enjoy."
